"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","100uF","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1",""
"C2,C4","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C3,C5,C6","100nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","3",""
"D1","LED","~","LED_THT:LED_D3.0mm","1",""
"J1","39-30-1240","https://www.molex.com/en-us/products/part-detail/39301240?display=pdf","Connector_Molex:Molex_Mini-Fit_Jr_5569-24A2_2x12_P4.20mm_Horizontal","1",""
"J2","Phoenix 3,5mm","~","Connector_Phoenix_MC:PhoenixContact_MC_1,5_12-G-3.5_1x12_P3.50mm_Horizontal","1",""
"J3","Conn_02x05_Odd_Even","~","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","1",""
"J4","Conn_02x20_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal","1",""
"J5","Conn_02x20_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","1","DNP"
"JP1","Conn_02x08_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical","1",""
"Q1,Q2","PN2222A","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF","Package_TO_SOT_THT:TO-92_Inline","2",""
"R1,R2,R3,R4,R5,R6,R7,R8","4k7","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","8",""
"SW2","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm_H4.3mm","1",""
"U1","74LS74","74xx/74hc_hct74.pdf","Package_DIP:DIP-14_W7.62mm","1",""
